id,pedidoId,repartidorId,fecha_asignacion,fecha_entrega,estado,distancia_km
48,48,17,2025-01-05 11:52:11.000000,2025-01-05 12:46:11,completado,8.59
49,49,25,2025-01-07 10:32:04.000000,2025-01-07 11:37:04,completado,4.1
50,50,10,2025-01-19 12:31:19.000000,2025-01-19 13:06:19,completado,2.53
52,52,22,2025-01-04 23:45:29.000000,2025-01-05 00:24:29,completado,6.63
55,55,1,2024-12-31 06:47:47.000000,2024-12-31 07:26:47,completado,5.62
57,57,9,2025-01-11 05:10:25.000000,2025-01-11 06:17:25,completado,5.04
58,58,49,2025-01-13 00:33:46.000000,2025-01-13 00:55:46,completado,1.85
59,59,10,2025-01-09 02:15:36.000000,2025-01-09 03:01:36,completado,9.39
61,61,24,2025-01-01 10:47:39.000000,2025-01-01 11:07:39,completado,4.72
64,64,20,2024-12-30 15:49:36.000000,2024-12-30 16:30:36,completado,8.06
67,67,16,2024-12-27 08:32:58.000000,2024-12-27 09:09:58,completado,5.21
69,69,37,2025-01-09 21:38:25.000000,2025-01-09 22:30:25,completado,8.25
72,72,10,2025-01-17 20:55:32.000000,2025-01-17 21:48:32,completado,7.67
74,74,26,2025-01-15 16:01:10.000000,2025-01-15 16:33:10,completado,8.18
76,76,44,2025-01-03 14:57:18.000000,2025-01-03 15:25:18,completado,4.35
78,78,36,2025-01-15 20:35:51.000000,2025-01-15 21:15:51,completado,5.87
80,80,49,2024-12-24 14:11:01.000000,2024-12-24 15:12:01,completado,1.61
82,82,40,2024-12-30 18:42:13.000000,2024-12-30 19:43:13,completado,9.17
85,85,31,2024-12-25 11:25:59.000000,2024-12-25 12:06:59,completado,7.0
87,87,36,2025-01-14 16:29:50.000000,2025-01-14 16:56:50,completado,7.08
88,88,34,2024-12-23 14:49:24.000000,2024-12-23 15:57:24,completado,3.06
92,92,29,2024-12-27 11:07:00.000000,2024-12-27 11:42:00,completado,6.67
94,94,10,2025-01-06 09:21:59.000000,2025-01-06 10:21:59,completado,8.14
95,95,40,2025-01-03 11:57:04.000000,2025-01-03 13:06:04,completado,8.93
98,98,49,2025-01-17 10:25:42.000000,2025-01-17 11:07:42,completado,9.17
100,100,6,2024-12-31 06:17:21.000000,2024-12-31 07:01:21,completado,4.18
102,102,18,2024-12-30 12:32:45.000000,2024-12-30 13:46:45,completado,5.12
103,103,23,2024-12-26 03:01:12.000000,2024-12-26 03:43:12,completado,2.45
106,106,45,2024-12-31 11:18:07.000000,2024-12-31 12:11:07,completado,4.93
107,107,25,2025-01-04 08:58:21.000000,2025-01-04 09:57:21,completado,7.43
109,109,23,2025-01-18 10:26:21.000000,2025-01-18 11:07:21,completado,8.85
112,112,6,2024-12-24 08:01:38.000000,2024-12-24 08:51:38,completado,3.29
114,114,1,2025-01-09 14:33:12.000000,2025-01-09 15:12:12,completado,4.27
117,117,49,2024-12-26 03:55:29.000000,2024-12-26 04:47:29,completado,4.51
118,118,45,2025-01-18 03:48:28.000000,2025-01-18 04:51:28,completado,3.46
119,119,45,2025-01-01 16:24:23.000000,2025-01-01 17:07:23,completado,5.99
120,120,28,2024-12-24 13:10:36.000000,2024-12-24 14:23:36,completado,4.12
121,121,12,2025-01-08 16:45:24.000000,2025-01-08 17:28:24,completado,1.54
123,123,16,2025-01-12 21:36:35.000000,2025-01-12 22:22:35,completado,4.15
125,125,48,2025-01-14 13:43:08.000000,2025-01-14 14:52:08,completado,2.61
126,126,25,2024-12-26 04:02:46.000000,2024-12-26 04:25:46,completado,2.91
128,128,23,2025-01-18 21:49:13.000000,2025-01-18 22:25:13,completado,6.64
129,129,1,2024-12-22 09:44:23.000000,2024-12-22 10:32:23,completado,8.75
130,130,50,2024-12-24 13:48:05.000000,2024-12-24 14:27:05,completado,2.81
132,132,50,2025-01-13 08:21:32.000000,2025-01-13 09:00:32,completado,5.91
134,134,22,2025-01-14 07:36:37.000000,2025-01-14 08:33:37,completado,6.34
138,138,33,2024-12-21 13:22:20.000000,2024-12-21 14:01:20,completado,3.47
139,139,22,2024-12-23 10:58:49.000000,2024-12-23 12:09:49,completado,9.53
140,140,24,2025-01-17 17:31:09.000000,2025-01-17 17:58:09,completado,4.61
145,145,44,2024-12-30 23:01:13.000000,2024-12-30 23:27:13,completado,9.02
146,146,42,2025-01-11 14:47:20.000000,2025-01-11 15:30:20,completado,6.23
147,147,12,2024-12-23 07:16:27.000000,2024-12-23 07:33:27,completado,6.38
148,148,22,2024-12-27 08:06:17.000000,2024-12-27 08:27:17,completado,5.33
150,150,6,2025-01-07 19:33:53.000000,2025-01-07 19:45:53,completado,2.06
151,151,17,2025-01-03 14:51:56.000000,2025-01-03 15:16:56,completado,2.91
155,155,40,2024-12-25 20:55:16.000000,2024-12-25 21:17:16,completado,6.11
156,156,16,2025-01-19 04:08:24.000000,2025-01-19 04:45:24,completado,4.86
157,157,16,2025-01-18 12:09:50.000000,2025-01-18 13:10:50,completado,3.52
159,159,16,2025-01-18 01:10:08.000000,2025-01-18 01:50:08,completado,7.61
160,160,34,2025-01-04 00:08:56.000000,2025-01-04 00:46:56,completado,2.97
164,164,10,2025-01-08 22:24:56.000000,2025-01-08 22:46:56,completado,9.67
165,165,50,2025-01-04 20:48:51.000000,2025-01-04 21:47:51,completado,6.47
166,166,49,2025-01-13 06:12:02.000000,2025-01-13 06:41:02,completado,2.52
170,170,12,2024-12-21 07:59:26.000000,2024-12-21 08:26:26,completado,9.48
171,171,23,2025-01-01 20:45:30.000000,2025-01-01 21:47:30,completado,8.84
174,174,42,2024-12-27 02:18:26.000000,2024-12-27 02:56:26,completado,9.32
175,175,32,2025-01-15 18:56:52.000000,2025-01-15 19:41:52,completado,5.38
176,176,3,2024-12-25 01:28:40.000000,2024-12-25 01:59:40,completado,8.97
177,177,12,2025-01-13 22:39:51.000000,2025-01-13 23:46:51,completado,6.17
178,178,32,2024-12-25 11:48:56.000000,2024-12-25 13:12:56,completado,7.41
179,179,49,2025-01-14 09:26:00.000000,2025-01-14 10:23:00,completado,6.25
180,180,24,2025-01-15 02:04:56.000000,2025-01-15 02:29:56,completado,8.95
181,181,4,2024-12-21 05:30:21.000000,2024-12-21 05:55:21,completado,2.66
184,184,40,2024-12-24 16:39:06.000000,2024-12-24 17:56:06,completado,1.68
186,186,37,2025-01-11 01:36:25.000000,2025-01-11 02:41:25,completado,7.76
187,187,37,2025-01-09 07:23:11.000000,2025-01-09 07:43:11,completado,9.78
189,189,40,2025-01-07 15:29:32.000000,2025-01-07 16:04:32,completado,9.0
191,191,50,2024-12-23 20:23:58.000000,2024-12-23 21:22:58,completado,6.2
192,192,12,2024-12-27 10:42:29.000000,2024-12-27 11:45:29,completado,7.81
194,194,38,2025-01-18 06:42:29.000000,2025-01-18 07:31:29,completado,8.08
195,195,36,2025-01-10 03:44:42.000000,2025-01-10 04:33:42,completado,2.82
196,196,50,2025-01-12 04:06:15.000000,2025-01-12 04:50:15,completado,4.63
200,200,18,2024-12-22 18:25:28.000000,2024-12-22 19:12:28,completado,2.18
201,201,26,2024-12-29 22:28:28.000000,2024-12-29 22:50:28,completado,3.86
202,202,22,2025-01-09 22:35:09.000000,2025-01-09 23:45:09,completado,5.1
203,203,22,2024-12-26 17:27:24.000000,2024-12-26 18:02:24,completado,2.43
205,205,40,2025-01-02 21:01:28.000000,2025-01-02 21:51:28,completado,3.39
209,209,1,2025-01-04 11:40:33.000000,2025-01-04 12:19:33,completado,7.55
210,210,8,2025-01-01 20:20:00.000000,2025-01-01 21:04:00,completado,7.25
211,211,4,2024-12-30 17:54:26.000000,2024-12-30 18:35:26,completado,8.54
213,213,12,2024-12-31 13:37:09.000000,2024-12-31 14:18:09,completado,2.55
214,214,24,2025-01-15 09:27:13.000000,2025-01-15 10:04:13,completado,6.69
215,215,3,2024-12-23 03:21:54.000000,2024-12-23 04:36:54,completado,5.72
217,217,33,2025-01-01 11:58:17.000000,2025-01-01 12:45:17,completado,3.22
219,219,48,2025-01-14 10:07:18.000000,2025-01-14 10:38:18,completado,3.2
221,221,37,2025-01-19 17:25:15.000000,2025-01-19 18:15:15,completado,9.38
222,222,12,2025-01-05 23:41:58.000000,2025-01-06 00:50:58,completado,5.72
223,223,4,2025-01-11 23:22:17.000000,2025-01-12 00:10:17,completado,6.67
224,224,22,2025-01-06 18:49:51.000000,2025-01-06 19:28:51,completado,1.89
225,225,17,2024-12-29 14:08:27.000000,2024-12-29 15:03:27,completado,4.7
226,226,18,2025-01-04 03:43:49.000000,2025-01-04 04:30:49,completado,6.23
227,227,25,2024-12-29 12:46:52.000000,2024-12-29 13:47:52,completado,2.83
228,228,18,2025-01-06 16:07:01.000000,2025-01-06 16:47:01,completado,4.9
229,229,22,2025-01-04 08:38:41.000000,2025-01-04 09:45:41,completado,8.78
230,230,22,2024-12-30 18:15:47.000000,2024-12-30 18:54:47,completado,9.09
232,232,45,2024-12-26 04:05:13.000000,2024-12-26 05:16:13,completado,9.22
233,233,45,2024-12-28 00:34:38.000000,2024-12-28 00:56:38,completado,8.02
234,234,31,2024-12-28 01:50:56.000000,2024-12-28 02:56:56,completado,8.33
235,235,48,2024-12-27 21:02:45.000000,2024-12-27 22:03:45,completado,3.19
236,236,40,2025-01-03 04:37:57.000000,2025-01-03 05:20:57,completado,1.84
237,237,40,2024-12-23 03:45:36.000000,2024-12-23 05:06:36,completado,7.57
239,239,24,2025-01-18 00:07:21.000000,2025-01-18 00:51:21,completado,3.4
240,240,33,2024-12-21 07:04:13.000000,2024-12-21 07:17:13,completado,6.08
245,245,26,2025-01-14 05:31:49.000000,2025-01-14 06:15:49,completado,6.41
246,246,28,2025-01-07 15:40:15.000000,2025-01-07 16:03:15,completado,8.61
247,247,18,2025-01-12 09:11:59.000000,2025-01-12 09:52:59,completado,3.31
251,251,3,2025-01-05 21:13:35.000000,2025-01-05 21:56:35,completado,5.82
252,252,17,2025-01-05 08:43:40.000000,2025-01-05 09:27:40,completado,6.76
254,254,21,2024-12-23 15:38:43.000000,2024-12-23 16:44:43,completado,5.23
255,255,49,2025-01-15 14:40:26.000000,2025-01-15 15:24:26,completado,4.65
256,256,29,2024-12-21 04:06:21.000000,2024-12-21 04:55:21,completado,4.31
260,260,36,2025-01-15 11:26:54.000000,2025-01-15 12:06:54,completado,3.95
263,263,39,2024-12-26 13:33:35.000000,2024-12-26 14:44:35,completado,3.39
265,265,10,2024-12-24 16:27:08.000000,2024-12-24 17:06:08,completado,1.63
266,266,21,2025-01-02 05:00:04.000000,2025-01-02 05:19:04,completado,9.11
267,267,30,2025-01-14 03:32:46.000000,2025-01-14 04:11:46,completado,8.28
268,268,12,2024-12-23 16:33:42.000000,2024-12-23 17:30:42,completado,6.36
270,270,31,2025-01-15 00:23:33.000000,2025-01-15 01:22:33,completado,7.98
271,271,24,2024-12-31 23:39:58.000000,2025-01-01 00:48:58,completado,6.01
272,272,45,2025-01-10 23:02:40.000000,2025-01-11 00:02:40,completado,6.64
274,274,50,2024-12-29 19:50:43.000000,2024-12-29 20:10:43,completado,9.42
275,275,48,2025-01-02 01:56:15.000000,2025-01-02 02:25:15,completado,9.1
276,276,45,2025-01-02 13:34:48.000000,2025-01-02 14:12:48,completado,6.73
277,277,6,2025-01-06 06:41:39.000000,2025-01-06 07:14:39,completado,3.71
278,278,31,2024-12-23 06:07:43.000000,2024-12-23 06:46:43,completado,5.25
279,279,40,2024-12-20 20:24:00.000000,2024-12-20 20:54:00,completado,9.16
281,281,12,2024-12-24 15:11:16.000000,2024-12-24 16:02:16,completado,7.63
283,283,29,2025-01-03 02:32:41.000000,2025-01-03 03:43:41,completado,7.41
284,284,1,2025-01-06 03:10:24.000000,2025-01-06 03:43:24,completado,1.52
285,285,17,2025-01-17 16:24:57.000000,2025-01-17 17:20:57,completado,9.46
287,287,20,2025-01-09 21:56:15.000000,2025-01-09 22:43:15,completado,2.66
291,291,21,2025-01-01 02:16:41.000000,2025-01-01 02:46:41,completado,5.58
292,292,18,2025-01-17 17:24:09.000000,2025-01-17 18:39:09,completado,5.89
294,294,10,2025-01-04 22:49:54.000000,2025-01-04 23:24:54,completado,4.13
295,295,4,2025-01-07 07:38:25.000000,2025-01-07 08:24:25,completado,4.33
301,301,3,2025-01-18 11:18:11.000000,2025-01-18 12:34:11,completado,7.82
304,304,23,2025-01-10 02:28:39.000000,2025-01-10 02:51:39,completado,8.47
305,305,37,2024-12-31 07:22:25.000000,2024-12-31 07:56:25,completado,4.05
307,307,30,2025-01-08 05:02:32.000000,2025-01-08 05:57:32,completado,8.74
308,308,24,2025-01-04 18:18:12.000000,2025-01-04 18:44:12,completado,2.22
312,312,37,2025-01-19 12:02:24.000000,2025-01-19 12:52:24,completado,6.83
315,315,4,2024-12-31 14:27:23.000000,2024-12-31 14:48:23,completado,3.79
317,317,22,2025-01-03 10:10:25.000000,2025-01-03 10:48:25,completado,7.52
318,318,29,2025-01-18 20:34:13.000000,2025-01-18 21:17:13,completado,2.9
320,320,26,2024-12-23 00:32:51.000000,2024-12-23 01:01:51,completado,7.72
322,322,3,2025-01-14 00:14:46.000000,2025-01-14 01:13:46,completado,7.41
325,325,42,2025-01-01 07:09:50.000000,2025-01-01 07:44:50,completado,8.46
326,326,6,2025-01-17 10:37:27.000000,2025-01-17 11:10:27,completado,6.28
327,327,20,2025-01-07 09:11:24.000000,2025-01-07 09:49:24,completado,2.34
330,330,12,2025-01-06 08:36:02.000000,2025-01-06 09:08:02,completado,4.86
331,331,24,2025-01-14 13:23:10.000000,2025-01-14 14:23:10,completado,9.81
332,332,22,2024-12-30 03:39:51.000000,2024-12-30 04:06:51,completado,2.7
334,334,34,2025-01-09 22:28:01.000000,2025-01-09 22:45:01,completado,1.63
339,339,37,2024-12-30 07:17:20.000000,2024-12-30 07:40:20,completado,7.4
340,340,18,2025-01-19 15:00:05.000000,2025-01-19 15:20:05,completado,5.62
341,341,16,2024-12-25 23:46:33.000000,2024-12-26 00:45:33,completado,5.24
342,342,45,2024-12-23 01:30:41.000000,2024-12-23 02:10:41,completado,5.08
344,344,36,2024-12-28 02:15:16.000000,2024-12-28 02:53:16,completado,9.68
345,345,3,2024-12-26 10:23:43.000000,2024-12-26 11:38:43,completado,7.9
346,346,36,2024-12-31 04:42:14.000000,2024-12-31 06:03:14,completado,4.95
347,347,40,2024-12-23 14:42:12.000000,2024-12-23 15:24:12,completado,6.05
348,348,29,2025-01-12 10:16:18.000000,2025-01-12 11:24:18,completado,3.93
349,349,32,2025-01-03 16:38:57.000000,2025-01-03 17:47:57,completado,8.33
350,350,3,2025-01-19 02:51:40.000000,2025-01-19 03:27:40,completado,3.02
351,351,29,2024-12-23 21:06:05.000000,2024-12-23 22:07:05,completado,4.43
352,352,24,2025-01-09 05:57:02.000000,2025-01-09 07:09:02,completado,6.67
354,354,26,2024-12-29 17:05:42.000000,2024-12-29 18:09:42,completado,2.05
355,355,44,2025-01-04 06:36:36.000000,2025-01-04 07:57:36,completado,7.97
356,356,24,2024-12-27 06:03:34.000000,2024-12-27 06:16:34,completado,5.42
357,357,44,2025-01-15 01:24:07.000000,2025-01-15 02:20:07,completado,7.1
359,359,1,2025-01-11 22:06:43.000000,2025-01-11 23:01:43,completado,5.54
361,361,4,2024-12-24 16:09:19.000000,2024-12-24 16:54:19,completado,8.94
362,362,9,2025-01-12 07:33:13.000000,2025-01-12 08:08:13,completado,2.09
365,365,4,2025-01-02 04:39:06.000000,2025-01-02 05:26:06,completado,3.53
366,366,8,2025-01-09 11:08:51.000000,2025-01-09 11:44:51,completado,4.31
368,368,36,2024-12-28 12:55:30.000000,2024-12-28 14:12:30,completado,8.15
370,370,31,2025-01-18 14:11:59.000000,2025-01-18 14:46:59,completado,1.68
371,371,6,2025-01-10 20:52:42.000000,2025-01-10 21:53:42,completado,5.41
372,372,38,2025-01-06 20:40:36.000000,2025-01-06 21:43:36,completado,3.13
373,373,40,2025-01-16 14:40:03.000000,2025-01-16 15:49:03,completado,4.76
376,376,50,2024-12-21 03:11:07.000000,2024-12-21 03:41:07,completado,8.45
378,378,9,2025-01-17 10:59:20.000000,2025-01-17 12:08:20,completado,1.81
380,380,32,2025-01-18 04:55:33.000000,2025-01-18 05:35:33,completado,5.91
382,382,49,2025-01-08 21:03:55.000000,2025-01-08 21:41:55,completado,9.35
385,385,22,2024-12-28 09:52:14.000000,2024-12-28 10:37:14,completado,7.63
386,386,28,2025-01-04 15:02:54.000000,2025-01-04 15:55:54,completado,5.19
387,387,26,2024-12-25 05:44:03.000000,2024-12-25 06:30:03,completado,2.27
388,388,45,2025-01-05 21:58:32.000000,2025-01-05 22:47:32,completado,5.23
390,390,4,2024-12-31 16:16:36.000000,2024-12-31 16:45:36,completado,8.7
391,391,1,2025-01-01 11:48:26.000000,2025-01-01 12:19:26,completado,5.37
392,392,24,2025-01-09 15:59:11.000000,2025-01-09 16:48:11,completado,1.6
394,394,8,2025-01-09 13:18:05.000000,2025-01-09 14:16:05,completado,9.23
395,395,22,2025-01-15 16:37:56.000000,2025-01-15 17:35:56,completado,2.19
396,396,36,2024-12-24 10:01:18.000000,2024-12-24 11:14:18,completado,2.4
397,397,6,2025-01-12 23:15:33.000000,2025-01-13 00:13:33,completado,7.65
398,398,48,2025-01-03 00:02:45.000000,2025-01-03 00:50:45,completado,5.17
399,399,48,2025-01-12 15:39:24.000000,2025-01-12 16:18:24,completado,7.61
403,403,44,2024-12-30 13:04:43.000000,2024-12-30 14:13:43,completado,4.17
404,404,31,2025-01-06 18:39:21.000000,2025-01-06 19:01:21,completado,4.1
405,405,40,2025-01-17 13:13:40.000000,2025-01-17 13:52:40,completado,3.05
408,408,30,2025-01-05 18:29:03.000000,2025-01-05 19:26:03,completado,9.49
409,409,50,2025-01-15 03:08:20.000000,2025-01-15 03:25:20,completado,6.83
411,411,44,2025-01-10 15:54:05.000000,2025-01-10 16:28:05,completado,6.68
412,412,33,2025-01-15 01:19:36.000000,2025-01-15 01:57:36,completado,9.32
413,413,50,2025-01-19 17:19:10.000000,2025-01-19 18:31:10,completado,4.67
414,414,29,2025-01-11 03:40:24.000000,2025-01-11 04:11:24,completado,9.42
416,416,48,2025-01-17 16:54:40.000000,2025-01-17 17:27:40,completado,8.58
418,418,20,2025-01-05 12:06:36.000000,2025-01-05 13:05:36,completado,9.91
419,419,23,2024-12-28 17:31:47.000000,2024-12-28 18:12:47,completado,6.63
420,420,20,2024-12-22 00:07:55.000000,2024-12-22 01:18:55,completado,4.79
422,422,16,2024-12-22 00:07:42.000000,2024-12-22 01:11:42,completado,8.77
423,423,48,2024-12-24 17:22:46.000000,2024-12-24 18:06:46,completado,1.69
425,425,16,2025-01-18 23:09:41.000000,2025-01-18 23:39:41,completado,1.52
429,429,20,2025-01-03 01:01:27.000000,2025-01-03 01:49:27,completado,3.45
430,430,22,2025-01-04 13:27:19.000000,2025-01-04 14:11:19,completado,8.84
432,432,28,2025-01-09 22:54:07.000000,2025-01-09 23:32:07,completado,9.79
433,433,18,2025-01-09 11:13:24.000000,2025-01-09 12:25:24,completado,5.07
435,435,10,2025-01-19 02:22:40.000000,2025-01-19 02:48:40,completado,2.55
437,437,24,2025-01-17 05:34:46.000000,2025-01-17 06:20:46,completado,4.85
438,438,50,2024-12-24 15:21:34.000000,2024-12-24 15:59:34,completado,5.56
440,440,36,2025-01-04 11:39:27.000000,2025-01-04 12:05:27,completado,3.17
441,441,3,2025-01-13 14:29:08.000000,2025-01-13 15:33:08,completado,4.57
443,443,20,2024-12-30 06:00:48.000000,2024-12-30 07:06:48,completado,7.68
444,444,26,2025-01-15 16:41:14.000000,2025-01-15 17:19:14,completado,5.61
447,447,4,2025-01-14 13:29:43.000000,2025-01-14 13:54:43,completado,7.64
448,448,8,2025-01-04 14:53:51.000000,2025-01-04 15:24:51,completado,2.98
449,449,22,2025-01-15 15:33:02.000000,2025-01-15 16:08:02,completado,2.07
451,451,6,2024-12-26 10:29:13.000000,2024-12-26 11:13:13,completado,4.02
453,453,16,2025-01-14 18:23:50.000000,2025-01-14 19:34:50,completado,5.46
454,454,37,2024-12-23 17:20:47.000000,2024-12-23 17:48:47,completado,2.12
455,455,10,2024-12-30 18:48:17.000000,2024-12-30 19:32:17,completado,3.6
457,457,39,2024-12-22 16:43:35.000000,2024-12-22 17:24:35,completado,6.93
459,459,9,2025-01-19 02:34:28.000000,2025-01-19 03:23:28,completado,3.09
460,460,16,2025-01-14 22:15:07.000000,2025-01-14 23:13:07,completado,6.4
461,461,32,2025-01-14 03:04:49.000000,2025-01-14 03:56:49,completado,9.54
464,464,29,2025-01-18 14:25:32.000000,2025-01-18 14:45:32,completado,1.74
466,466,26,2025-01-11 03:03:11.000000,2025-01-11 03:33:11,completado,6.97
467,467,18,2024-12-30 11:42:18.000000,2024-12-30 12:22:18,completado,9.22
469,469,3,2024-12-22 00:15:50.000000,2024-12-22 01:32:50,completado,7.24
470,470,33,2024-12-26 04:31:06.000000,2024-12-26 05:18:06,completado,3.44
471,471,23,2025-01-09 21:16:36.000000,2025-01-09 21:46:36,completado,6.26
472,472,33,2025-01-03 14:37:36.000000,2025-01-03 15:15:36,completado,5.54
474,474,8,2025-01-10 09:31:49.000000,2025-01-10 10:08:49,completado,4.22
475,475,49,2024-12-27 23:40:33.000000,2024-12-28 00:50:33,completado,6.04
477,477,24,2025-01-01 17:52:37.000000,2025-01-01 18:39:37,completado,2.87
479,479,21,2025-01-04 05:19:18.000000,2025-01-04 06:22:18,completado,7.49
480,480,23,2025-01-06 02:02:09.000000,2025-01-06 02:57:09,completado,3.54
481,481,37,2024-12-23 13:22:44.000000,2024-12-23 14:28:44,completado,9.71
482,482,32,2025-01-08 02:36:28.000000,2025-01-08 03:41:28,completado,9.12
483,483,36,2025-01-13 18:20:26.000000,2025-01-13 19:09:26,completado,9.79
484,484,33,2025-01-13 03:08:06.000000,2025-01-13 03:48:06,completado,7.72
485,485,49,2025-01-03 04:06:05.000000,2025-01-03 04:57:05,completado,7.86
486,486,45,2025-01-12 14:00:52.000000,2025-01-12 14:35:52,completado,5.53
489,489,9,2025-01-14 09:32:24.000000,2025-01-14 10:07:24,completado,2.72
491,491,38,2025-01-02 01:04:01.000000,2025-01-02 02:04:01,completado,6.18
495,495,24,2025-01-15 06:17:19.000000,2025-01-15 07:12:19,completado,9.36
496,496,40,2024-12-29 07:25:36.000000,2024-12-29 08:40:36,completado,5.88
497,497,21,2025-01-01 02:32:44.000000,2025-01-01 02:53:44,completado,7.78
498,498,1,2024-12-28 04:41:08.000000,2024-12-28 05:39:08,completado,3.35
499,499,40,2024-12-29 09:41:37.000000,2024-12-29 10:31:37,completado,9.75
500,500,44,2025-01-03 08:20:50.000000,2025-01-03 09:04:50,completado,7.97
501,501,28,2025-01-06 07:54:25.000000,2025-01-06 08:13:25,completado,7.78
502,502,3,2025-01-12 12:00:33.000000,2025-01-12 12:19:33,completado,3.48
503,503,37,2025-01-13 22:18:01.000000,2025-01-13 23:00:01,completado,8.36
505,505,21,2025-01-14 07:47:52.000000,2025-01-14 08:47:52,completado,8.73
506,506,21,2025-01-10 01:17:53.000000,2025-01-10 02:26:53,completado,8.31
509,509,20,2025-01-16 07:13:38.000000,2025-01-16 07:33:38,completado,7.44
512,512,23,2024-12-22 12:51:20.000000,2024-12-22 13:38:20,completado,6.03
514,514,45,2024-12-22 19:14:00.000000,2024-12-22 20:12:00,completado,2.85
517,517,9,2024-12-31 18:16:21.000000,2024-12-31 18:51:21,completado,2.44
518,518,37,2025-01-03 10:56:32.000000,2025-01-03 12:11:32,completado,3.1
519,519,16,2025-01-01 22:34:44.000000,2025-01-01 22:50:44,completado,4.39
521,521,29,2025-01-05 05:41:54.000000,2025-01-05 06:43:54,completado,5.89
524,524,22,2024-12-31 20:48:59.000000,2024-12-31 21:40:59,completado,8.33
525,525,28,2025-01-10 16:59:37.000000,2025-01-10 17:53:37,completado,2.46
528,528,32,2024-12-28 16:03:10.000000,2024-12-28 16:40:10,completado,5.85
529,529,38,2025-01-11 12:03:03.000000,2025-01-11 12:47:03,completado,7.88
530,530,34,2024-12-29 08:50:37.000000,2024-12-29 10:02:37,completado,1.67
531,531,23,2024-12-30 09:18:36.000000,2024-12-30 10:24:36,completado,9.5
532,532,44,2025-01-07 23:03:20.000000,2025-01-07 23:50:20,completado,9.73
533,533,50,2024-12-23 23:24:58.000000,2024-12-24 00:04:58,completado,3.43
534,534,17,2025-01-11 11:57:44.000000,2025-01-11 12:43:44,completado,6.73
535,535,36,2024-12-30 15:12:28.000000,2024-12-30 15:42:28,completado,7.27
537,537,34,2025-01-16 11:52:39.000000,2025-01-16 12:54:39,completado,7.91
539,539,4,2024-12-29 17:32:38.000000,2024-12-29 18:13:38,completado,7.08
541,541,16,2024-12-26 11:09:41.000000,2024-12-26 11:42:41,completado,6.14
542,542,25,2025-01-01 01:20:23.000000,2025-01-01 02:45:23,completado,6.6
543,543,40,2025-01-19 10:40:44.000000,2025-01-19 11:37:44,completado,9.99
544,544,44,2024-12-28 10:11:24.000000,2024-12-28 11:15:24,completado,6.93
548,548,42,2024-12-26 12:28:42.000000,2024-12-26 13:09:42,completado,2.82
549,549,3,2024-12-28 22:28:08.000000,2024-12-28 23:08:08,completado,3.94
